class_id,class_name_raw,class_name_clean,sci_name,taxonomy,matched,Mass,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Hand-Wing.Index,Tail.Length,Habitat,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Migration,Range.Size,family,order
52,052.Pied_billed_Grebe,Pied billed Grebe,Podilymbus podiceps,BirdLife,True,411.9,28.8,14.1,5.4,10.6,37.1,125.6,34.0,32.6,Wetland,Carnivore,Aquatic predator,Aquatic,2.0,21361785.48,Podicipedidae,Podicipediformes
53,053.Western_Grebe,Western Grebe,Aechmophorus occidentalis,BirdLife,True,1137.0,73.2,54.1,6.6,10.2,71.7,184.5,40.8,29.8,Wetland,Carnivore,Aquatic predator,Aquatic,3.0,4866227.6,Podicipedidae,Podicipediformes
54,054.Blue_Grosbeak,Blue Grosbeak,Passerina caerulea,BirdLife,True,27.4,17.0,12.3,7.4,10.9,20.3,86.1,22.9,64.4,Forest,Carnivore,Invertivore,Generalist,3.0,5300267.2,Cardinalidae,Passeriformes
55,055.Evening_Grosbeak,Evening Grosbeak,Coccothraustes vespertinus,eBird,True,57.3,22.7,16.0,10.5,14.5,21.4,109.8,34.2,67.2,Forest,Herbivore,Omnivore,Insessorial,2.0,,Fringillidae,Passeriformes
56,056.Pine_Grosbeak,Pine Grosbeak,Pinicola enucleator,BirdLife,True,56.4,16.6,12.3,8.6,11.2,19.6,109.2,29.4,85.1,Forest,Herbivore,Omnivore,Insessorial,2.0,18396768.3,Fringillidae,Passeriformes
57,057.Rose_breasted_Grosbeak,Rose breasted Grosbeak,Pheucticus ludovicianus,BirdLife,True,42.0,18.6,11.8,8.8,11.8,21.6,101.3,26.5,74.6,Forest,Herbivore,Omnivore,Insessorial,3.0,3980871.24,Cardinalidae,Passeriformes
58,058.Pigeon_Guillemot,Pigeon Guillemot,Cepphus columba,BirdLife,True,530.0,36.5,22.4,6.1,9.9,32.0,173.4,40.1,46.4,Marine,Carnivore,Aquatic predator,Aquatic,3.0,1700815.29,Alcidae,Charadriiformes
59,059.California_Gull,California Gull,Larus californicus,BirdLife,True,683.4,55.7,19.8,7.0,14.2,57.0,377.0,58.4,140.0,Coastal,Omnivore,Omnivore,Terrestrial,2.0,1997786.84,Laridae,Charadriiformes
60,060.Glaucous_winged_Gull,Glaucous winged Gull,Larus glaucescens,BirdLife,True,1056.5,69.8,25.2,9.2,19.7,65.2,411.8,53.0,166.0,Coastal,Carnivore,Aquatic predator,Generalist,3.0,899194.26,Laridae,Charadriiformes
61,061.Heermann_Gull,Heermann Gull,Larus heermanni,BirdLife,True,500.0,56.3,18.0,6.0,12.2,51.6,336.2,55.2,133.2,Coastal,Carnivore,Aquatic predator,Aerial,1.0,842438.69,Laridae,Charadriiformes
62,062.Herring_Gull,Herring Gull,Larus argentatus,BirdLife,True,1091.0,74.0,24.5,8.9,19.6,63.2,430.8,53.4,170.2,Coastal,Carnivore,Aquatic predator,Generalist,2.0,1540126.95,Laridae,Charadriiformes
63,063.Ivory_Gull,Ivory Gull,Pagophila eburnea,BirdLife,True,550.0,45.1,16.5,6.6,11.6,38.7,333.4,61.0,137.0,Marine,Carnivore,Aquatic predator,Aerial,2.0,17367390.8,Laridae,Charadriiformes
64,064.Ring_billed_Gull,Ring billed Gull,Larus delawarensis,BirdLife,True,516.3,48.1,19.6,6.2,13.0,51.2,366.0,56.2,133.2,Coastal,Carnivore,Omnivore,Terrestrial,2.0,5396423.36,Laridae,Charadriiformes
65,065.Slaty_backed_Gull,Slaty backed Gull,Larus schistisagus,BirdLife,True,1323.0,68.1,24.8,9.2,19.6,68.2,435.0,53.1,171.5,Coastal,Carnivore,Omnivore,Generalist,2.0,1114985.14,Laridae,Charadriiformes
66,066.Western_Gull,Western Gull,Larus occidentalis,BirdLife,True,922.8,64.8,23.8,8.5,18.3,64.2,397.5,51.0,145.2,Marine,Carnivore,Omnivore,Generalist,2.0,91633.8,Laridae,Charadriiformes
67,067.Anna_Hummingbird,Anna Hummingbird,Calypte anna,BirdLife,True,4.2,20.6,15.7,1.6,1.7,4.6,49.0,65.6,30.0,Woodland,Herbivore,Nectarivore,Aerial,2.0,493015.73,Trochilidae,Caprimulgiformes
68,068.Ruby_throated_Hummingbird,Ruby throated Hummingbird,Archilochus colubris,BirdLife,True,3.1,20.7,15.1,1.8,1.9,3.4,40.7,65.0,24.3,Woodland,Omnivore,Nectarivore,Generalist,3.0,4936988.47,Trochilidae,Caprimulgiformes
69,069.Rufous_Hummingbird,Rufous Hummingbird,Selasphorus rufus,BirdLife,True,3.5,20.4,15.4,1.6,1.7,2.5,40.7,67.0,29.8,Forest,Herbivore,Nectarivore,Aerial,1.0,1526769.21,Trochilidae,Caprimulgiformes
70,070.Green_Violetear,Green Violetear,Colibri thalassinus,BirdLife,True,5.9,23.7,17.3,2.2,2.0,5.6,62.6,61.5,42.0,Forest,Herbivore,Nectarivore,Aerial,1.0,788433.25,Trochilidae,Caprimulgiformes
71,071.Long_tailed_Jaeger,Long tailed Jaeger,Stercorarius longicaudus,BirdLife,True,287.9,32.9,11.2,5.4,9.2,40.7,301.7,60.2,245.5,Marine,Carnivore,Aquatic predator,Aerial,3.0,6233403.78,Stercorariidae,Charadriiformes
72,072.Pomarine_Jaeger,Pomarine Jaeger,Stercorarius pomarinus,BirdLife,True,692.5,45.8,16.1,7.2,12.5,52.0,350.8,55.8,175.6,Marine,Carnivore,Aquatic predator,Aerial,3.0,3233984.08,Stercorariidae,Charadriiformes
73,073.Blue_Jay,Blue Jay,Cyanocitta cristata,BirdLife,True,88.0,29.9,18.6,10.1,8.9,34.7,130.0,17.4,121.4,Woodland,Omnivore,Omnivore,Terrestrial,1.0,6665383.16,Corvidae,Passeriformes
74,074.Florida_Jay,Florida Jay,Aphelocoma coerulescens,BirdLife,True,77.1,30.0,17.7,9.1,9.1,37.8,116.7,17.5,140.5,Shrubland,Omnivore,Omnivore,Insessorial,1.0,6933.22,Corvidae,Passeriformes
75,075.Green_Jay,Green Jay,Cyanocorax yncas,BirdLife,True,78.5,29.6,16.2,9.3,9.9,38.7,121.5,7.8,139.3,Forest,Omnivore,Omnivore,Insessorial,1.0,1092392.74,Corvidae,Passeriformes
76,076.Dark_eyed_Junco,Dark eyed Junco,Junco hyemalis,BirdLife,True,19.5,11.6,7.8,4.5,5.3,21.1,75.2,21.9,63.8,Forest,Herbivore,Granivore,Generalist,3.0,10167654.77,Passerellidae,Passeriformes
77,077.Tropical_Kingbird,Tropical Kingbird,Tyrannus melancholicus,BirdLife,True,37.4,23.5,17.4,9.7,7.4,18.7,108.8,23.7,91.9,Human Modified,Carnivore,Invertivore,Insessorial,1.0,16505803.88,Tyrannidae,Passeriformes
78,078.Gray_Kingbird,Gray Kingbird,Tyrannus dominicensis,BirdLife,True,46.5,30.6,21.6,11.5,8.8,18.5,116.6,30.1,89.0,Forest,Carnivore,Omnivore,Insessorial,2.0,575526.35,Tyrannidae,Passeriformes
79,079.Belted_Kingfisher,Belted Kingfisher,Megaceryle alcyon,BirdLife,True,148.0,58.6,44.8,9.5,13.4,12.5,158.8,33.6,94.3,Riverine,Carnivore,Aquatic predator,Insessorial,2.0,13996585.38,Alcedinidae,Coraciiformes
80,080.Green_Kingfisher,Green Kingfisher,Chloroceryle americana,BirdLife,True,33.7,42.0,34.2,6.2,8.7,7.8,76.8,25.6,57.8,Riverine,Carnivore,Aquatic predator,Insessorial,1.0,16946715.06,Alcedinidae,Coraciiformes
81,081.Pied_Kingfisher,Pied Kingfisher,Ceryle rudis,BirdLife,True,84.4,64.2,50.6,9.1,11.6,11.0,136.2,34.5,75.7,Wetland,Carnivore,Aquatic predator,Insessorial,1.0,23875911.23,Alcedinidae,Coraciiformes
82,082.Ringed_Kingfisher,Ringed Kingfisher,Megaceryle torquata,BirdLife,True,317.0,83.6,65.2,14.9,21.1,14.3,191.3,24.5,120.2,Riverine,Carnivore,Aquatic predator,Insessorial,1.0,16295521.19,Alcedinidae,Coraciiformes
83,083.White_breasted_Kingfisher,White breasted Kingfisher,Halcyon smyrnensis,BirdLife,True,91.4,59.8,48.4,13.7,14.3,15.0,113.2,21.7,78.3,Human Modified,Carnivore,Omnivore,Insessorial,2.0,6823580.46,Alcedinidae,Coraciiformes
84,084.Red_legged_Kittiwake,Red legged Kittiwake,Rissa brevirostris,BirdLife,True,377.0,38.2,13.8,5.2,10.8,30.0,299.8,62.2,112.8,Marine,Carnivore,Aquatic predator,Aerial,2.0,192125.06,Laridae,Charadriiformes
85,085.Horned_Lark,Horned Lark,Eremophila alpestris,BirdLife,True,33.3,13.9,9.2,4.2,5.0,23.5,108.1,38.6,71.4,Grassland,Omnivore,Omnivore,Terrestrial,3.0,35118904.89,Alaudidae,Passeriformes
86,086.Pacific_Loon,Pacific Loon,Gavia pacifica,BirdLife,True,2251.1,71.9,41.1,8.3,12.9,72.8,291.2,47.9,48.4,Wetland,Carnivore,Aquatic predator,Aquatic,3.0,5397186.87,Gaviidae,Gaviiformes
87,087.Mallard,Mallard,Anas platyrhynchos,BirdLife,True,843.4,58.5,41.0,20.8,17.8,40.6,263.4,50.7,86.9,Wetland,Herbivore,Herbivore aquatic,Aquatic,2.0,39707247.47,Anatidae,Anseriformes
88,088.Western_Meadowlark,Western Meadowlark,Sturnella neglecta,BirdLife,True,100.1,33.8,22.0,6.1,7.5,35.0,117.0,27.8,71.6,Grassland,Omnivore,Invertivore,Terrestrial,2.0,6719237.68,Icteridae,Passeriformes
